ID,Predicted
T001,0.98354554
T002,0.9422778
T003,0.118363395
T004,0.9758449
T005,0.94727606
T006,0.12264517
T007,0.0720505
T008,0.07039054
T009,0.08192508
T010,0.11068688
T011,0.027537508
T012,0.31959963
T013,0.18420489
T014,0.071629174
T015,0.118033
T016,0.031434603
T017,0.013601016
T018,0.97970635
T019,0.88733673
T020,0.020337287
T021,0.018487522
T022,0.096965395
T023,0.96529394
T024,0.87485576
T025,0.038996954
T026,0.017077096
T027,0.06272226
T028,0.95672166
T029,0.1565549
T030,0.02978194
T031,0.72222203
T032,0.0057003344
T033,0.92351896
T034,0.20354289
T035,0.9404583
T036,0.0105360085
T037,0.051145956
T038,0.91736424
T039,0.99057126
T040,0.032389384
T041,0.40671408
T042,0.9614558
T043,0.9983676
T044,0.0118997125
T045,0.58985347
T046,0.97843194
T047,0.011722158
T048,0.016801717
T049,0.048907083
T050,0.99975234
T051,0.049993433
T052,0.39356786
T053,0.089559294
T054,0.9983499
T055,0.04124
T056,0.047047168
T057,0.99743986
T058,0.0050576944
T059,0.02335824
T060,0.028398987
T061,0.023716036
T062,0.7634933
T063,0.33162075
T064,0.99789006
T065,0.31310764
T066,0.9920661
T067,0.98738456
T068,0.42843556
T069,0.9584896
T070,0.03350075
T071,0.9738012
T072,0.9876381
T073,0.013022892
T074,0.013499883
T075,0.9189856
T076,0.021292385
T077,0.9357676
T078,0.99144226
T079,0.19020112
T080,0.98978513
T081,0.29444075
T082,0.03084219
T083,0.06444948
T084,0.031053806
T085,0.98093385
T086,0.018077083
T087,0.35378727
T088,0.058410008
T089,0.9951886
T090,0.71884584
T091,0.04035779
T092,0.036635302
T093,0.86289513
T094,0.018787524
T095,0.5419153
T096,0.83471566
T097,0.98536265
T098,0.015726604
T099,0.065683804
T100,0.9990759
