iter	F1	Logloss
0	0	0.5907714342
1	0	0.5294394078
2	0.09375	0.4982630408
3	0.06349206349	0.467147942
4	0.1230769231	0.4407493782
5	0.1515151515	0.4154303397
6	0.1515151515	0.3909991689
7	0.1791044776	0.3807475016
8	0.1791044776	0.3750855866
9	0.2777777778	0.3711190405
10	0.301369863	0.3605669604
11	0.3243243243	0.34994557
12	0.3466666667	0.3362807179
13	0.3684210526	0.323047774
14	0.3684210526	0.3203878033
15	0.4102564103	0.3079487352
16	0.4691358025	0.297907697
17	0.5238095238	0.2848694332
18	0.5176470588	0.2802597837
19	0.5411764706	0.2701733294
20	0.5747126437	0.2619872527
21	0.6136363636	0.2444032281
22	0.6666666667	0.2220168903
23	0.6808510638	0.217377696
24	0.6808510638	0.21634004
25	0.7083333333	0.2070798159
26	0.7157894737	0.1973617794
27	0.7474747475	0.1851191264
28	0.7961165049	0.1717222817
29	0.819047619	0.1676961434
30	0.819047619	0.1547635888
31	0.8909090909	0.1512477439
32	0.8623853211	0.1437720723
33	0.9009009009	0.127373808
34	0.9203539823	0.1175525169
35	0.9298245614	0.111116042
36	0.9391304348	0.106410582
37	0.9391304348	0.1013320779
38	0.9572649573	0.09701609207
39	0.9661016949	0.08928794785
40	0.974789916	0.07923315143
41	0.9833333333	0.07473616641
42	0.9833333333	0.07317408826
43	0.9917355372	0.06773593265
44	0.9833333333	0.06427199755
45	0.9833333333	0.06119933454
46	0.9917355372	0.05649542005
47	0.9917355372	0.05341050915
48	0.9917355372	0.04928587267
49	1	0.04477956649
50	1	0.04216038879
51	1	0.03921243636
52	1	0.03652613599
53	1	0.03418921391
54	1	0.03394319273
55	1	0.03092413255
56	1	0.02835224921
57	1	0.02707436053
58	1	0.02547897811
59	1	0.02375167231
60	1	0.02235627403
61	1	0.02144964144
62	1	0.02090305178
63	1	0.02024297523
64	1	0.01890719118
65	1	0.01763276008
66	1	0.01644347019
67	1	0.01563697089
68	1	0.01552366466
69	1	0.01510977288
70	1	0.01403796153
71	1	0.01273468816
72	1	0.01206632642
73	1	0.01165156382
74	1	0.01115393596
75	1	0.01057009108
76	1	0.01003633395
77	1	0.008915183946
78	1	0.008412936239
79	1	0.007958774695
80	1	0.007514314157
81	1	0.00724103549
82	1	0.00640862635
83	1	0.005817335077
84	1	0.00526291176
85	1	0.005033488018
86	1	0.004794795363
87	1	0.004484176723
88	1	0.004113786252
89	1	0.003765451164
90	1	0.003557046254
91	1	0.003484369839
92	1	0.003460581083
93	1	0.003224789026
94	1	0.003086915575
95	1	0.002926640249
96	1	0.002800625735
97	1	0.002671503957
98	1	0.00261198369
99	1	0.002464623438
100	1	0.00219406122
101	1	0.002059166029
102	1	0.001961132459
103	1	0.001928520882
104	1	0.001823989797
105	1	0.001810329981
106	1	0.001708479169
107	1	0.001624822514
108	1	0.00156146964
109	1	0.001476321992
110	1	0.001331607949
111	1	0.001201818019
112	1	0.001132559755
113	1	0.001092639654
114	1	0.001048189529
115	1	0.001027460304
116	1	0.000957944026
117	1	0.0009190195249
118	1	0.0008633568133
119	1	0.0008146081115
120	1	0.0007851037472
121	1	0.0007554985279
122	1	0.0007031836489
123	1	0.0006500797247
124	1	0.0005916413978
125	1	0.0005799279984
126	1	0.0005264272762
127	1	0.0005023228591
128	1	0.0004876836143
129	1	0.000472150424
130	1	0.0004485428763
131	1	0.0004398861144
132	1	0.0004273325276
133	1	0.0004191416851
134	1	0.0003876326053
135	1	0.0003595687131
136	1	0.0003330093681
137	1	0.0003330047403
138	1	0.0003098076595
139	1	0.0002972828549
140	1	0.0002852475678
141	1	0.0002712061749
142	1	0.0002592969781
143	1	0.0002323304798
144	1	0.0002205589454
145	1	0.0002078428655
146	1	0.0001970198568
147	1	0.0001901544339
148	1	0.000179938372
149	1	0.000173138885
150	1	0.0001675748418
151	1	0.0001675748418
152	1	0.0001675748418
153	1	0.0001380666513
154	1	0.0001380666513
155	1	0.0001140053815
156	1	0.0001140053815
157	1	0.0001087498407
158	1	0.0001037727644
159	1	0.0001037727644
160	1	0.0001037727644
161	1	9.168668864e-05
162	1	9.167800959e-05
163	1	9.167800959e-05
164	1	9.167800959e-05
165	1	8.354349008e-05
166	1	8.353926338e-05
167	1	8.353926338e-05
168	1	7.936731176e-05
169	1	7.936731176e-05
170	1	7.936731176e-05
171	1	7.936731176e-05
172	1	7.389944041e-05
173	1	7.389944041e-05
174	1	7.389944041e-05
175	1	7.389944041e-05
176	1	6.949097237e-05
177	1	6.949097237e-05
178	1	6.949097237e-05
179	1	6.617241699e-05
180	1	6.617241699e-05
181	1	6.616464516e-05
182	1	6.616464516e-05
183	1	6.616464516e-05
184	1	6.616464516e-05
185	1	6.616464516e-05
186	1	6.616464516e-05
187	1	6.616464516e-05
188	1	6.616464516e-05
189	1	5.72267958e-05
190	1	5.349043838e-05
191	1	5.34881356e-05
192	1	5.347917017e-05
193	1	5.347304822e-05
194	1	5.347304822e-05
195	1	5.347304822e-05
196	1	5.347304822e-05
197	1	5.347304822e-05
198	1	5.347304822e-05
199	1	5.347304822e-05
200	1	5.347304822e-05
201	1	5.347304822e-05
202	1	5.347304822e-05
203	1	5.347304822e-05
204	1	5.347304822e-05
205	1	5.347304822e-05
206	1	5.347304822e-05
207	1	5.347304822e-05
208	1	5.347304822e-05
209	1	5.347304822e-05
210	1	5.347304822e-05
211	1	5.347304822e-05
212	1	5.347304822e-05
213	1	5.347304822e-05
214	1	5.347304822e-05
215	1	5.347304822e-05
216	1	5.347304822e-05
217	1	5.347304822e-05
218	1	5.347304822e-05
219	1	5.347304822e-05
220	1	5.347304822e-05
221	1	5.347304822e-05
222	1	5.347304822e-05
223	1	5.347304822e-05
224	1	5.347304822e-05
225	1	5.347304822e-05
226	1	5.347304822e-05
227	1	5.347304822e-05
228	1	5.347304822e-05
229	1	5.347304822e-05
230	1	5.347304822e-05
231	1	5.347304822e-05
232	1	5.347304822e-05
233	1	5.347304822e-05
234	1	5.347304822e-05
235	1	5.347304822e-05
236	1	5.347304822e-05
237	1	5.347304822e-05
238	1	5.347304822e-05
239	1	5.347304822e-05
240	1	5.347304822e-05
241	1	5.347304822e-05
242	1	5.347304822e-05
243	1	5.347304822e-05
244	1	5.347304822e-05
245	1	5.347304822e-05
246	1	5.347304822e-05
247	1	5.347304822e-05
248	1	5.347304822e-05
249	1	5.347142441e-05
250	1	5.347142441e-05
251	1	5.346912586e-05
252	1	5.346912586e-05
253	1	5.346573618e-05
254	1	5.346573618e-05
255	1	5.346343995e-05
256	1	5.346343995e-05
257	1	5.346114527e-05
258	1	5.346114527e-05
259	1	5.346114527e-05
260	1	5.346114527e-05
261	1	5.346114527e-05
262	1	5.346114527e-05
263	1	5.346114527e-05
264	1	5.346114527e-05
265	1	5.346114527e-05
266	1	5.346114527e-05
267	1	5.346114527e-05
268	1	5.346114527e-05
269	1	5.346114527e-05
270	1	5.346114527e-05
271	1	5.346114527e-05
272	1	5.346114527e-05
273	1	5.346114527e-05
274	1	5.346114527e-05
275	1	5.346114527e-05
276	1	5.346114527e-05
277	1	5.346114527e-05
278	1	5.346114527e-05
279	1	5.346114527e-05
280	1	5.346114527e-05
281	1	5.346114527e-05
282	1	5.346114527e-05
283	1	5.346114527e-05
284	1	5.346114527e-05
285	1	5.346114527e-05
286	1	5.346114527e-05
287	1	5.106923476e-05
288	1	5.106923476e-05
289	1	5.106923476e-05
290	1	5.106923476e-05
291	1	5.106655804e-05
292	1	5.106655804e-05
293	1	5.106655804e-05
294	1	5.106655804e-05
295	1	5.106655804e-05
296	1	5.106655804e-05
297	1	5.106655804e-05
298	1	5.106655804e-05
299	1	5.106655804e-05
300	1	5.106655804e-05
301	1	5.106655804e-05
302	1	5.106530715e-05
303	1	5.106530715e-05
304	1	5.106530715e-05
305	1	5.106530715e-05
306	1	5.106530715e-05
307	1	5.106530715e-05
308	1	5.106530715e-05
309	1	5.106405715e-05
